va	mangled	size	code	class	name
00524220	?GetCityInfo@mmCityList@@QAEPAVmmCityInfo@@PAD@Z	80	1	mmCityList	GetCityInfo
00524270	?GetCityID@mmCityList@@QAEHPAD@Z	80	1	mmCityList	GetCityID
005242C0	?SetCurrentCity@mmCityList@@QAEXPAD@Z	48	1	mmCityList	SetCurrentCity
005242F0	?SetCurrentCity@mmCityList@@QAEXH@Z	48	1	mmCityList	SetCurrentCity
00524320	?GetCurrentCity@mmCityList@@QAEPAVmmCityInfo@@XZ	16	1	mmCityList	GetCurrentCity
00524330	?Load@mmCityList@@QAEXPAD@Z	240	1	mmCityList	Load
00524420	?Print@mmCityList@@QAEXXZ	64	1	mmCityList	Print
00524460	?isCityInfoFile@@YA_NPBD@Z	96	1		isCityInfoFile
005244C0	?LoadCityCB@@YAXPBD_N@Z	48	1		LoadCityCB
005244F0	?LoadAll@mmCityList@@QAEXXZ	48	1	mmCityList	LoadAll
00524520	??_EmmCityList@@UAEPAXI@Z	48	1	mmCityList	`vector deleting destructor'
00524550	??0mmVehList@@QAE@XZ	32	1	mmVehList	mmVehList
00524570	??1mmVehList@@UAE@XZ	96	1	mmVehList	~mmVehList
005245D0	?Init@mmVehList@@QAEXH@Z	16	1	mmVehList	Init
005245E0	?GetVehicleInfo@mmVehList@@QAEPAVmmVehInfo@@H@Z	48	1	mmVehList	GetVehicleInfo
00524610	?GetVehicleInfo@mmVehList@@QAEPAVmmVehInfo@@PAD@Z	128	1	mmVehList	GetVehicleInfo
00524690	?SetDefaultVehicle@mmVehList@@QAEXPAD@Z	32	1	mmVehList	SetDefaultVehicle
005246B0	?GetVehicleID@mmVehList@@QAEHPAD@Z	112	1	mmVehList	GetVehicleID
00524720	?Load@mmVehList@@QAEXPAD@Z	240	1	mmVehList	Load
00524810	?Print@mmVehList@@QAEXXZ	80	1	mmVehList	Print
00524860	?isVehInfoFile@@YA_NPBD@Z	112	1		isVehInfoFile
005248D0	?LoadVehListCB@@YAXPBD_N@Z	128	1		LoadVehListCB
00524950	?LoadAll@mmVehList@@QAEXXZ	176	1	mmVehList	LoadAll
00524A00	??_EmmVehList@@UAEPAXI@Z	48	1	mmVehList	`vector deleting destructor'
00524A30	??0mmMiscData@@QAE@XZ	112	1	mmMiscData	mmMiscData
00524AA0	??1mmMiscData@@UAE@XZ	96	1	mmMiscData	~mmMiscData
00524B00	?Reset@mmMiscData@@QAEXXZ	32	1	mmMiscData	Reset
00524B20	?Open@mmMiscData@@QAEHPAD@Z	368	1	mmMiscData	Open
00524C90	?Close@mmMiscData@@QAEHXZ	48	1	mmMiscData	Close
00524CC0	?Init@mmMiscData@@QAEHPADHHH@Z	560	1	mmMiscData	Init
00524EF0	?GetFileOffset@mmMiscData@@AAEJHHHH@Z	160	1	mmMiscData	GetFileOffset
00524F90	?GetRecord@mmMiscData@@QAE?AVmmRecord@@HHHH@Z	400	1	mmMiscData	GetRecord
00525120	?NewRecord@mmMiscData@@QAEHHPADMH0HH@Z	816	1	mmMiscData	NewRecord
00525450	??_GmmMiscData@@UAEPAXI@Z	48	1	mmMiscData	`scalar deleting destructor'
00525480	??_GmmRecord@@UAEPAXI@Z	48	1	mmRecord	`scalar deleting destructor'
005254B0	??0mmPlayerConfig@@QAE@XZ	176	1	mmPlayerConfig	mmPlayerConfig
00525560	??1mmPlayerConfig@@UAE@XZ	112	1	mmPlayerConfig	~mmPlayerConfig
005255D0	??4mmPlayerConfig@@QAEXAAV0@@Z	384	1	mmPlayerConfig	operator=
00525750	?Load@mmPlayerConfig@@QAEHPAD@Z	96	1	mmPlayerConfig	Load
005257B0	?LoadBinary@mmPlayerConfig@@QAEHPAD@Z	640	1	mmPlayerConfig	LoadBinary
00525A30	?SaveBinary@mmPlayerConfig@@QAEHPAD@Z	576	1	mmPlayerConfig	SaveBinary
00525C70	?SetDefaults@mmPlayerConfig@@QAEXXZ	16	1	mmPlayerConfig	SetDefaults
00525C80	?Save@mmPlayerConfig@@QAEHPADH@Z	160	1	mmPlayerConfig	Save
00525D20	?SetAudio@mmPlayerConfig@@QAEXXZ	256	1	mmPlayerConfig	SetAudio
00525E20	?SetControls@mmPlayerConfig@@QAEXXZ	240	1	mmPlayerConfig	SetControls
00525F10	?GetCustom@mmPlayerConfig@@QAEXXZ	48	1	mmPlayerConfig	GetCustom
00525F40	?SetCustom@mmPlayerConfig@@QAEXXZ	48	1	mmPlayerConfig	SetCustom
00525F70	??0mmGfxCFG@@QAE@XZ	64	1	mmGfxCFG	mmGfxCFG
00525FB0	?Get@mmGfxCFG@@QAEXXZ	112	1	mmGfxCFG	Get
00526020	?Set@mmGfxCFG@@QAEXXZ	112	1	mmGfxCFG	Set
00526090	?GetGraphics@mmPlayerConfig@@QAEXXZ	16	1	mmPlayerConfig	GetGraphics
005260A0	?SetGraphics@mmPlayerConfig@@QAEXXZ	16	1	mmPlayerConfig	SetGraphics
005260B0	?GetAudio@mmPlayerConfig@@QAEXXZ	112	1	mmPlayerConfig	GetAudio
00526120	?GetControls@mmPlayerConfig@@QAEXXZ	224	1	mmPlayerConfig	GetControls
00526200	?GetViewSettings@mmPlayerConfig@@QAEXXZ	32	1	mmPlayerConfig	GetViewSettings
00526220	?SetViewSettings@mmPlayerConfig@@QAEXXZ	32	1	mmPlayerConfig	SetViewSettings
00526240	?DefaultAudio@mmPlayerConfig@@QAEXXZ	176	1	mmPlayerConfig	DefaultAudio
005262F0	?DefaultControls@mmPlayerConfig@@QAEXXZ	96	1	mmPlayerConfig	DefaultControls
00526350	?DefaultViewSettings@mmPlayerConfig@@QAEXXZ	64	1	mmPlayerConfig	DefaultViewSettings
00526390	?Reset@mmPlayerConfig@@QAEXXZ	16	1	mmPlayerConfig	Reset
005263A0	?DefaultGraphics@mmPlayerConfig@@QAEXXZ	304	1	mmPlayerConfig	DefaultGraphics
005264D0	??_GmmPlayerConfig@@UAEPAXI@Z	80	1	mmPlayerConfig	`scalar deleting destructor'
00526520	??0mmPlayerDirectory@@QAE@XZ	64	1	mmPlayerDirectory	mmPlayerDirectory
00526560	??1mmPlayerDirectory@@UAE@XZ	112	1	mmPlayerDirectory	~mmPlayerDirectory
005265D0	?NewDirectory@mmPlayerDirectory@@QAEXH@Z	64	1	mmPlayerDirectory	NewDirectory
00526610	?SetPlayer@mmPlayerDirectory@@QAEXHPAD0@Z	48	1	mmPlayerDirectory	SetPlayer
00526640	?SetLastPlayer@mmPlayerDirectory@@QAEXPAD@Z	80	1	mmPlayerDirectory	SetLastPlayer
