# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8bc7	mov eax, edi
8d7e2c	lea edi, [esi + 2Ch]
895dfc	mov dword ptr [ebp - 4], ebx
8d8e88020000	lea ecx, [esi + 288h]
8d8e600e0000	lea ecx, [esi + 0E60h]
8d8ef8100000	lea ecx, [esi + 10F8h]
8d8e90130000	lea ecx, [esi + 1390h]
8d8e28160000	lea ecx, [esi + 1628h]
8d8e70170000	lea ecx, [esi + 1770h]
8d8eb8180000	lea ecx, [esi + 18B8h]
8d8ee0190000	lea ecx, [esi + 19E0h]
8d8e081b0000	lea ecx, [esi + 1B08h]
8d8e2c1c0000	lea ecx, [esi + 1C2Ch]
8d8e701d0000	lea ecx, [esi + 1D70h]
8d8e981e0000	lea ecx, [esi + 1E98h]
8d8ebc1f0000	lea ecx, [esi + 1FBCh]
8d8ee4200000	lea ecx, [esi + 20E4h]
c645fc0f	mov byte ptr [ebp - 4], 0Fh
895e24	mov dword ptr [esi + 24h], ebx
89862c0e0000	mov dword ptr [esi + 0E2Ch], eax
c6404801	mov byte ptr [eax + 48h], 1
899ea0230000	mov dword ptr [esi + 23A0h], ebx
899e480e0000	mov dword ptr [esi + 0E48h], ebx
889e590e0000	mov byte ptr [esi + 0E59h], bl
889e5a0e0000	mov byte ptr [esi + 0E5Ah], bl
c686580e000001	mov byte ptr [esi + 0E58h], 1
bf0000803f	mov edi, 3F800000h
895e18	mov dword ptr [esi + 18h], ebx
897e1c	mov dword ptr [esi + 1Ch], edi
c7462000009040	mov dword ptr [esi + 20h], 40900000h
899e70220000	mov dword ptr [esi + 2270h], ebx
89be80220000	mov dword ptr [esi + 2280h], edi
b800000040	mov eax, 40000000h
c786842200000000a041	mov dword ptr [esi + 2284h], 41A00000h
898688220000	mov dword ptr [esi + 2288h], eax
66899e8e220000	mov word ptr [esi + 228Eh], bx
66899e8c220000	mov word ptr [esi + 228Ch], bx
899e90220000	mov dword ptr [esi + 2290h], ebx
899e94220000	mov dword ptr [esi + 2294h], ebx
c786f42200000000003f	mov dword ptr [esi + 22F4h], 3F000000h
bacdcc8c3f	mov edx, 3F8CCCCDh
89bef0220000	mov dword ptr [esi + 22F0h], edi
b900004040	mov ecx, 40400000h
8996fc220000	mov dword ptr [esi + 22FCh], edx
898ef8220000	mov dword ptr [esi + 22F8h], ecx
89be04230000	mov dword ptr [esi + 2304h], edi
c7862c2300000000003f	mov dword ptr [esi + 232Ch], 3F000000h
89be28230000	mov dword ptr [esi + 2328h], edi
899634230000	mov dword ptr [esi + 2334h], edx
898e30230000	mov dword ptr [esi + 2330h], ecx
b900002041	mov ecx, 41200000h
ba0000c03f	mov edx, 3FC00000h
898e1c230000	mov dword ptr [esi + 231Ch], ecx
898e20230000	mov dword ptr [esi + 2320h], ecx
89860c230000	mov dword ptr [esi + 230Ch], eax
c7861023000000008040	mov dword ptr [esi + 2310h], 40800000h
89be3c230000	mov dword ptr [esi + 233Ch], edi
899e14230000	mov dword ptr [esi + 2314h], ebx
66899e08230000	mov word ptr [esi + 2308h], bx
c786bc2200009a99193f	mov dword ptr [esi + 22BCh], 3F19999Ah
8996c0220000	mov dword ptr [esi + 22C0h], edx
8996cc220000	mov dword ptr [esi + 22CCh], edx
c786c42200006666e63f	mov dword ptr [esi + 22C4h], 3FE66666h
